,obs,name,jd,mnvel,errvel,sval,cts,tel
43468,bj41.2593,190067,2454310.974965,-5.661490819962874,1.0434417,0.17800000000000002,69629.0,j
43469,bj41.2594,190067,2454310.976227,-5.226611931395007,1.2142757,0.179,70472.0,j
43470,bj41.2609,190067,2454311.035116,-2.8566714474391546,1.0743071,0.17800000000000002,70413.0,j
43471,bj41.2610,190067,2454311.036458,-4.268613378824884,1.1188174,0.17800000000000002,69394.0,j
43472,bj41.2966,190067,2454311.891898,-2.1686601341749663,1.0476097,0.179,71304.0,j
43473,bj41.2967,190067,2454311.893403,-1.1482700436567201,1.1235226,0.179,71035.0,j
43474,bj41.3010,190067,2454312.026539,-1.4385075407675671,1.0803254,0.179,70192.0,j
43475,bj41.3011,190067,2454312.027894,0.38831124030269104,1.1408242,0.179,70784.0,j
43476,bj41.3372,190067,2454312.894537,1.5557613782303323,1.177843,0.18,69949.0,j
43477,bj41.3373,190067,2454312.896042,-0.5160980425704706,1.1620008,0.18100000000000002,69116.0,j
43478,bj41.3410,190067,2454313.017431,1.432182813772104,1.2741257,0.182,69795.0,j
43479,bj41.3411,190067,2454313.019132,-1.1489386512603035,1.1878161,0.18100000000000002,69635.0,j
43480,bj41.3769,190067,2454313.896713,-2.0618126150605747,1.072724,0.182,70697.0,j
43481,bj41.3770,190067,2454313.897917,-0.6825739758517739,1.1255035,0.182,69928.0,j
43482,bj41.3811,190067,2454314.007176,-1.7284658496419318,1.2392002,0.182,56364.0,j
43483,bj41.3812,190067,2454314.008356,-3.9149797868787553,1.3173858,0.183,55839.0,j
43484,bj41.3828,190067,2454314.038241,-1.4116308265721664,1.1893933,0.183,70108.0,j
43485,bj41.3829,190067,2454314.03956,-2.455474643050044,1.2663525,0.182,69939.0,j
43486,bj41.4171,190067,2454314.926157,-2.927973928314885,1.1474867,0.182,71861.0,j
43487,bj41.4172,190067,2454314.927465,-1.1005188815856966,1.1458477,0.183,70148.0,j
43488,bj41.4200,190067,2454315.020486,-0.567394366284093,1.1422638,0.182,69932.0,j
43489,bj41.4201,190067,2454315.021875,-3.5244385016120727,1.2473943,0.183,69407.0,j
43490,bj43.188,190067,2454335.979062,3.1566126954417086,1.3459398,0.177,68926.0,j
43491,bj43.189,190067,2454335.980625,4.195924383457054,1.3086766,0.177,69519.0,j
43492,bj43.2174,190067,2454337.044618,5.847748905327734,1.4773597,0.177,71299.0,j
43493,bj43.4139,190067,2454338.842512,-2.45776995657846,1.3768516,0.179,73028.0,j
43494,bj45.172,190067,2454343.89625,2.0239465449366776,1.2528647,0.183,69261.0,j
43495,bj45.581,190067,2454344.948287,-1.4437996951461969,1.4473865,0.182,72323.0,j
43496,bj47.116,190067,2454396.732778,5.058576294273507,1.3253422,0.172,73798.0,j
43497,bj47.319,190067,2454397.759618,-2.2404334731547806,1.1978427,0.17300000000000001,69978.0,j
43498,bj47.711,190067,2454398.750891,2.2412048280414183,1.3355385,0.172,71647.0,j
43499,bj54.1075,190067,2454602.969444,2.5056288526721744,1.3884983,0.17300000000000001,44394.0,j
43500,bj54.1484,190067,2454603.989433,3.3602284211423523,1.5267891,0.174,44645.0,j
43501,bj55.142,190067,2454634.042743,1.125086033423198,1.3511058,0.17300000000000001,46579.0,j
43502,bj58.105,190067,2454688.872951,-0.3002730434857561,1.3275182,0.172,45771.0,j
43503,bj58.423,190067,2454689.950706,-2.0222022853831447,1.3649005,0.171,43707.0,j
43504,bj59.448,190067,2454718.990382,3.476904657908591,1.3523647,0.175,43953.0,j
43505,bj59.1911,190067,2454723.90353,2.8159364380802003,1.3768343,0.17800000000000002,43763.0,j
43506,bj60.102,190067,2454725.84059,3.401934934329944,1.4133049,0.17800000000000002,44967.0,j
43507,bj60.533,190067,2454726.95684,4.2672716056450355,1.4863236,0.17600000000000002,45236.0,j
43508,bj60.756,190067,2454727.839178,2.7197877366814964,1.3818371,0.17800000000000002,44752.0,j
43509,bj72.1064,190067,2455019.02058,8.889224018636245,1.4346778,0.17800000000000002,45861.0,j
43510,bj95.1109,190067,2455404.907091,9.79292721292901,1.3409387,0.17300000000000001,48192.0,j
43511,bj130.2275,190067,2455797.768237,13.918523743879476,1.3456724,0.16699999999999998,48284.0,j
43512,bj174.473,190067,2456494.887604,23.24046603928184,1.3907354,0.18100000000000002,44728.0,j
43513,bj189.2076,190067,2456853.095825,28.245430658840444,1.8475102,0.184,22593.0,j
43514,bj202.734,190067,2457210.138947,27.875960554694075,1.4213959,0.1802,46034.0,j
43515,bj245.82,190067,2457703.697842,32.08453434770692,1.5087572,0.1766,48024.0,j
43516,bj258.63,190067,2457923.982801,39.12425457901425,1.7726942,0.174,23070.0,j
43517,bj293.521,190067,2458301.132292,40.775632675003294,1.5211717,0.1729,47632.0,j
43518,bj293.521,190067,2458301.132292,40.775632675003294,1.5211717,0.1729,47632.0,j
43519,bj324.86,190067,2458592.140531,46.37771672499504,1.3826183,0.166,47543.0,j
43520,bj336.114,190067,2458666.131599,45.21214378348243,1.393055,0.1715,46695.0,j
43521,bj341.459,190067,2458724.72292,46.374557913614424,1.346611,0.1718,46708.0,j
43522,,190067,2456505.904336,-5.934463923284664,2.3797138,,28039.0,apf
43523,,190067,2456506.81535,-4.04975434414151,2.3843927,,21375.0,apf
43524,,190067,2456577.797068,7.2741053533220565,2.4234898,,9485.0,apf
43525,,190067,2456581.688984,-7.062417742848368,2.073511,,14553.0,apf
43526,,190067,2456581.694296,-6.033873040809169,1.8081414,,21006.0,apf
43527,,190067,2456581.712536,-3.384217935819379,2.0461252,,14518.0,apf
43528,,190067,2456581.802563,-2.408855538738038,2.6668563,,10702.0,apf
43529,,190067,2456582.656616,-6.030166444771311,2.1887212,,14522.0,apf
43530,,190067,2456582.739699,-0.03974313427659126,2.2433372,,13959.0,apf
43531,,190067,2456582.795343,-4.19285141869932,2.1607623,,13470.0,apf
43532,,190067,2456583.689543,-7.3657116601020505,2.0046473,,15121.0,apf
43533,,190067,2456583.7678,-1.5871691299828399,2.0743668,,14134.0,apf
